avatar_url,first_name,followers_count,full_name,id,kind,last_modified,last_name,permalink,permalink_url,uri,urn,username,verified,city,country_code,badges,station_urn,station_permalink
https://i1.sndcdn.com/avatars-000060490861-kdttiu-large.jpg,Patrick,8930,Patrick DSP,78423,user,2021-01-17T17:28:46Z,DSP,patrickdsp,https://soundcloud.com/patrickdsp,https://api.soundcloud.com/users/78423,soundcloud:users:78423,Patrick DSP,True,Berlin,DE,"{'pro': False, 'pro_unlimited': True, 'verified': True}",soundcloud:system-playlists:artist-stations:78423,artist-stations:78423
https://i1.sndcdn.com/avatars-000060490861-kdttiu-large.jpg,Patrick,8930,Patrick DSP,78423,user,2021-01-17T17:28:46Z,DSP,patrickdsp,https://soundcloud.com/patrickdsp,https://api.soundcloud.com/users/78423,soundcloud:users:78423,Patrick DSP,True,Berlin,DE,"{'pro': False, 'pro_unlimited': True, 'verified': True}",soundcloud:system-playlists:artist-stations:78423,artist-stations:78423
https://i1.sndcdn.com/avatars-000060490861-kdttiu-large.jpg,Patrick,8930,Patrick DSP,78423,user,2021-01-17T17:28:46Z,DSP,patrickdsp,https://soundcloud.com/patrickdsp,https://api.soundcloud.com/users/78423,soundcloud:users:78423,Patrick DSP,True,Berlin,DE,"{'pro': False, 'pro_unlimited': True, 'verified': True}",soundcloud:system-playlists:artist-stations:78423,artist-stations:78423
https://i1.sndcdn.com/avatars-pVzmqVNLeedMxyh6-FCgv5g-large.jpg,HOUSEMEISTER,17238,HOUSEMEISTER BERLIN,291998,user,2021-03-15T10:06:57Z,BERLIN,housemeister,https://soundcloud.com/housemeister,https://api.soundcloud.com/users/291998,soundcloud:users:291998,housemeister,True,berlin,DE,"{'pro': True, 'pro_unlimited': False, 'verified': True}",soundcloud:system-playlists:artist-stations:291998,artist-stations:291998
https://i1.sndcdn.com/avatars-000312412001-xczzl4-large.jpg,Collabs Events,126,Collabs Events,146950339,user,2017-05-11T15:56:52Z,,collabs_events,https://soundcloud.com/collabs_events,https://api.soundcloud.com/users/146950339,soundcloud:users:146950339,Collabs Events/Records,False,Trimmelkam,AT,"{'pro': False, 'pro_unlimited': False, 'verified': False}",soundcloud:system-playlists:artist-stations:146950339,artist-stations:146950339
https://i1.sndcdn.com/avatars-000060490861-kdttiu-large.jpg,Patrick,8930,Patrick DSP,78423,user,2021-01-17T17:28:46Z,DSP,patrickdsp,https://soundcloud.com/patrickdsp,https://api.soundcloud.com/users/78423,soundcloud:users:78423,Patrick DSP,True,Berlin,DE,"{'pro': False, 'pro_unlimited': True, 'verified': True}",soundcloud:system-playlists:artist-stations:78423,artist-stations:78423
https://i1.sndcdn.com/avatars-000060490861-kdttiu-large.jpg,Patrick,8930,Patrick DSP,78423,user,2021-01-17T17:28:46Z,DSP,patrickdsp,https://soundcloud.com/patrickdsp,https://api.soundcloud.com/users/78423,soundcloud:users:78423,Patrick DSP,True,Berlin,DE,"{'pro': False, 'pro_unlimited': True, 'verified': True}",soundcloud:system-playlists:artist-stations:78423,artist-stations:78423
https://i1.sndcdn.com/avatars-zwSr8fbE9mSDIXo3-YPon3A-large.jpg,Shane,1468,Shane Flynn,184835,user,2021-11-11T22:45:20Z,Flynn,millhousetechno,https://soundcloud.com/millhousetechno,https://api.soundcloud.com/users/184835,soundcloud:users:184835,Millhouse,False,Berlin,DE,"{'pro': False, 'pro_unlimited': True, 'verified': False}",soundcloud:system-playlists:artist-stations:184835,artist-stations:184835
https://i1.sndcdn.com/avatars-000060490861-kdttiu-large.jpg,Patrick,8930,Patrick DSP,78423,user,2021-01-17T17:28:46Z,DSP,patrickdsp,https://soundcloud.com/patrickdsp,https://api.soundcloud.com/users/78423,soundcloud:users:78423,Patrick DSP,True,Berlin,DE,"{'pro': False, 'pro_unlimited': True, 'verified': True}",soundcloud:system-playlists:artist-stations:78423,artist-stations:78423
https://i1.sndcdn.com/avatars-000060490861-kdttiu-large.jpg,Patrick,8930,Patrick DSP,78423,user,2021-01-17T17:28:46Z,DSP,patrickdsp,https://soundcloud.com/patrickdsp,https://api.soundcloud.com/users/78423,soundcloud:users:78423,Patrick DSP,True,Berlin,DE,"{'pro': False, 'pro_unlimited': True, 'verified': True}",soundcloud:system-playlists:artist-stations:78423,artist-stations:78423
https://i1.sndcdn.com/avatars-000060490861-kdttiu-large.jpg,Patrick,8930,Patrick DSP,78423,user,2021-01-17T17:28:46Z,DSP,patrickdsp,https://soundcloud.com/patrickdsp,https://api.soundcloud.com/users/78423,soundcloud:users:78423,Patrick DSP,True,Berlin,DE,"{'pro': False, 'pro_unlimited': True, 'verified': True}",soundcloud:system-playlists:artist-stations:78423,artist-stations:78423
