id_playlist,playlist_name,id_artist,playlist_link_full,songs_number
980,"1,000,000 Club",7235,https://www.soundcloud.com/edm/sets/a-milli,23
981,100 Days With Clavero,7241,https://www.soundcloud.com/pau-clavero-hernandez/sets/background-music-of-my-videos,243
982,16,7243,https://www.soundcloud.com/andrea-monck/sets/16-1,1
983,10k.Caash - Planet Swajjur,7249,https://www.soundcloud.com/defjam/sets/10k-caash-planet-swajjur,10
984,1DAY (QUADECA X SAINT G),7255,https://www.soundcloud.com/quadecax8/sets/1day-quadeca-x-saint-g,7
985,100% Ibiza Minimixes,7258,https://www.soundcloud.com/iamsammyporter/sets/100-ibiza-minimixes,2
986,1D,7264,https://www.soundcloud.com/makayla-persaud/sets/1d,244
987,1,7270,https://www.soundcloud.com/ztte4zvtldqq/sets/1-1,184
988,100 %ambient,7276,https://www.soundcloud.com/emmanuel-piolet-562536338/sets/100-ambient,500
989,12,7282,https://www.soundcloud.com/user875850913/sets/12-1,299
990,16’,7288,https://www.soundcloud.com/user-210098341/sets/16-1,60
991,1𝑫 𝑿 5𝑺𝑶𝑺,7289,https://www.soundcloud.com/indra-indra-4/sets/1d-x-5sos,240
992,12345,7295,https://www.soundcloud.com/nurwahida-chintya-amy/sets/12345-1,6
993,123456789FX10,7301,https://www.soundcloud.com/user-218048915/sets/jjjaaammmmzzzzzzz,343
994,15,7307,https://www.soundcloud.com/bhadbhabie/sets/fifteen,15
995,1Omarion.com,7313,https://www.soundcloud.com/omarion/sets/1omarion-com,8
996,1 Up Top Ahk,7319,https://www.soundcloud.com/mozzymusic/sets/1-up-top-ahk,16
997,1234,7325,https://www.soundcloud.com/xcc5dbvwrhxx/sets/1234-1,117
998,18th Birthday🥂🔞✨,7331,https://www.soundcloud.com/user-816683004/sets/18th-birthday,106
999,1960s soul,7337,https://www.soundcloud.com/user-816683004/sets/1960s-soul,116
1000,1,7343,https://www.soundcloud.com/lawyer-sabry-fathy/sets/1-1,468
1001,1090,7349,https://www.soundcloud.com/grimey-goon/sets/1090-1,417
1002,1,7355,https://www.soundcloud.com/user-138042575/sets/1-1,60
1003,123,7361,https://www.soundcloud.com/topbear7/sets/123-1,185
1004,18,7367,https://www.soundcloud.com/maximilian-gens-1/sets/18-1,24
1005,1,7373,https://www.soundcloud.com/nikki-w-889967696/sets/1-1,465
1006,1,7379,https://www.soundcloud.com/ryan-pedro-920660442/sets/1-1,10
1007,123456,7385,https://www.soundcloud.com/nguy-n-qu-c-vi-t-534690229/sets/123456-1,441
1008,100K plays and above,7391,https://www.soundcloud.com/runthetrap/sets/100k-plays-and-above,68
1009,1,7397,https://www.soundcloud.com/user-627843335/sets/1-1,500
1010,420 - Rhyming Cyborg (Mixtape),1870,https://www.soundcloud.com/420dopestudios/sets/rhyming-cyborg-420-mixtape,20
1011,4 new songs,7402,https://www.soundcloud.com/chancetherapper/sets/4-new-songs,4
1012,440,7408,https://www.soundcloud.com/user539367781/sets/440b,83
1013,4th Wave Ska,7414,https://www.soundcloud.com/underthesungod/sets/4th-wave-ska,32
1014,"420 Psych  - Chill, Trippy & Slightly Psychedelic",7420,https://www.soundcloud.com/underthesungod/sets/420-psych-chill-trippy,42
1015,420,7425,https://www.soundcloud.com/joshua-wright-344615276/sets/420-1,26
1016,43BY,7431,https://www.soundcloud.com/user-449106741/sets/43by,190
1017,420,7437,https://www.soundcloud.com/rafael-yoska/sets/420-1,15
1018,43by,7443,https://www.soundcloud.com/rony-sameh-435920191/sets/43by,427
1019,4 me,7449,https://www.soundcloud.com/user-992090248/sets/4-me,481
1020,4. The Evolution,7455,https://www.soundcloud.com/angel-a-irizarry-rullan/sets/4-the-evolution,413
1021,4 Becky (w the good hair),7461,https://www.soundcloud.com/nylaaa-2/sets/4-becky-w-the-good-hair,500
1022,4 to da floor,7467,https://www.soundcloud.com/user-94873875/sets/morristown,500
1023,4th,7473,https://www.soundcloud.com/spaquette122-1/sets/4th,452
1024,4,7476,https://www.soundcloud.com/ya-ra-62806956/sets/4-1,2
1025,45480363,7482,https://www.soundcloud.com/user-318554115/sets/45480363-1,378
1026,43by,7488,https://www.soundcloud.com/f-m-h-m-452364690/sets/43by,475
1027,4,7494,https://www.soundcloud.com/abc-xyz-822487912/sets/4-1,430
1028,44,7500,https://www.soundcloud.com/smlducznujdo/sets/44-1,457
1029,4a3bi,7506,https://www.soundcloud.com/princess-mrmr-664942795/sets/4a3bi,20
1030,4444,7512,https://www.soundcloud.com/b6f8id5uarah/sets/4444-1,361
1031,4 AM,7518,https://www.soundcloud.com/yearyounger/sets/4-am,60
1032,43by,7524,https://www.soundcloud.com/aya-elmohamady-280610206/sets/43by,10
1033,40 Geburtstag,7530,https://www.soundcloud.com/user-954679753/sets/40-geburtstag,304
1034,4a3by,7536,https://www.soundcloud.com/sara_fawzy/sets/4a3by,10
1035,48 HOURS of Retail 80s/90s/00s/Today's Pop/Hip-Hop/R&B/Country Clean Radio Edit Hits - Part 1,7542,https://www.soundcloud.com/cbworldmusic/sets/48-hours-of-retail-80s-90s-00s,484
1036,4i20,7548,https://www.soundcloud.com/igoor_acid25/sets/4i20,433
1037,4a3be,7554,https://www.soundcloud.com/yasmien-aziz-22730601/sets/4a3be,297
1038,4,7560,https://www.soundcloud.com/user651098865/sets/4-1,488
1039,4 weeks to read,7566,https://www.soundcloud.com/lisa-melberg-357312659/sets/4-weeks-to-read,34
1040,4 Feeling,7571,https://www.soundcloud.com/kathiry5/sets/4-feeling,475
